Condition,Density,Seed,NAgents,FreezingRate,NFrozen,CollisionRate
baseline,5,1,10,0.0,0,1.0
baseline,5,2,10,0.0,0,1.0
baseline,5,3,10,0.2,2,1.0
baseline,5,4,10,0.1,1,1.0
baseline,5,5,10,0.0,0,1.0
baseline,10,1,20,0.0,0,1.0
baseline,10,2,20,0.0,0,1.0
baseline,10,3,20,0.0,0,1.0
baseline,10,4,20,0.0,0,1.0
baseline,10,5,20,0.0,0,1.0
baseline,15,1,30,0.0,0,1.0
baseline,15,2,30,0.0,0,1.0
baseline,15,3,30,0.0,0,1.0
baseline,15,4,30,0.0,0,1.0
baseline,15,5,30,0.0,0,1.0
baseline,20,1,40,0.0,0,1.0
baseline,20,2,40,0.0,0,1.0
baseline,20,3,40,0.0,0,1.0
baseline,20,4,40,0.0,0,1.0
baseline,20,5,40,0.0,0,1.0
eph,5,1,10,0.0,0,1.0
eph,5,2,10,0.0,0,1.0
eph,5,3,10,0.2,2,1.0
eph,5,4,10,0.1,1,1.0
eph,5,5,10,0.0,0,1.0
eph,10,1,20,0.0,0,1.0
eph,10,2,20,0.0,0,1.0
eph,10,3,20,0.0,0,1.0
eph,10,4,20,0.0,0,1.0
eph,10,5,20,0.0,0,1.0
eph,15,1,30,0.0,0,1.0
eph,15,2,30,0.0,0,1.0
eph,15,3,30,0.0667,2,1.0
eph,15,4,30,0.0,0,1.0
eph,15,5,30,0.0,0,1.0
eph,20,1,40,0.0,0,1.0
eph,20,2,40,0.0,0,1.0
eph,20,3,40,0.0,0,1.0
eph,20,4,40,0.0,0,1.0
eph,20,5,40,0.0,0,1.0
